WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,ConvDF,Lat,Long,WEEK,MONTH,YEAR
02/15-32-036-03W4/0,SURGE ENERGY 102  PROVOST 15-32-36-3,499243,0Y52,Precision Drilling Corporation,145,30 Jan 2021 05:30:00 AM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2021-01-30,32036034,32036034,52.13567452,-110.3860374,4,1,2021.0
02/14-11-038-08W5/0,YANGARRA HZ 102 FERRIER 14-11-38-8,499214,A801,Stampede Drilling A Division Of Matrix Energy Technologi,5,29 Jan 2021 12:00:00 AM,Red Deer,0LN7,Yangarra Resources Corp.,,Drill To LD,2021-01-30,11038085,11038085,52.25354596,-115.0253763,4,1,2021.0
06/14-18-058-05W4/0,CNRL 14B LIND 14-18-58-5,498180,0Z41,Ensign Drilling Inc.,218,30 Jan 2021 06:00:00 AM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2021-01-30,18058054,18058054,54.01332889,-110.7229605,4,1,2021.0
02/13-34-061-26W4/0,RHE 100 WESTLOCK 13-34-61-26,499196,A1TW,Bonanza Drilling Inc.,4,28 Jan 2021 08:30:00 PM,St. Albert,A6W2,Rolling Hills Energy Ltd.,,Drill To LD,2021-01-30,34061264,34061264,54.31939142,-113.8005715,4,1,2021.0
00/05-11-061-04W6/0,TOURMALINE HZ KAKWA 5-11-61-4,499014,0Y52,Precision Drilling Corporation,531,29 Jan 2021 02:00:00 PM,Grande Prairie,A573,Tourmaline Oil Corp.,,Drill To LD,2021-01-30,11061046,11061046,54.26134727,-118.47513,4,1,2021.0
AA/09-03-070-04W4/0,CVE B9 FISHER 9-3-70-4,498772,A57H,Predator Drilling Inc.,144,29 Jan 2021 06:00:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-30,3070044,3070044,55.03149217,-110.5141798,4,1,2021.0
02/13-36-071-09W6/0,OVV HZ 102 WEMBLEY 13-36-71-9,498698,0Y52,Precision Drilling Corporation,535,29 Jan 2021 10:45:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2021-01-30,36071096,36071096,55.19234259,-119.2309926,4,1,2021.0
00/09-26-074-25W4/0,HWX MARTENH 9-26-74-25,498850,A08C,Savanna Drilling Corp.,437,29 Jan 2021 08:48:00 AM,St. Albert,A8DL,Headwater Exploration Inc.,,Drill To LD,2021-01-30,26074254,26074254,55.43911772,-113.7246581,4,1,2021.0
02/07-36-078-13W6/0,BIR 14-6 HZ 102 PCOUPES 7-36-78-13,499048,0Y52,Precision Drilling Corporation,226,29 Jan 2021 08:09:00 PM,Grande Prairie,A12R,Birchcliff Energy Ltd.,,Resumption,2021-01-30,36078136,36078136,55.80309179,-119.8621707,4,1,2021.0
AA/09-07-093-09W4/0,SYNCRUDE 108N01 9-7-93-9,497115,0Y80,Boart Longyear Canada,41,30 Jan 2021 04:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,7093094,7093094,57.05350282,-111.4277301,4,1,2021.0
AB/09-20-093-09W4/0,SYNCRUDE 144N01 9-20-93-9,497160,0Y80,Boart Longyear Canada,37,29 Jan 2021 10:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,20093094,20093094,57.08259388,-111.4009027,4,1,2021.0
AB/13-21-093-09W4/0,SYNCRUDE 067N01 13-21-93-9,497178,0Y80,Boart Longyear Canada,32,30 Jan 2021 02:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,21093094,21093094,57.08259576,-111.3740827,4,1,2021.0
AC/07-01-093-10W4/0,SYNCRUDE 143N01 7-1-93-10,497159,0Y80,Boart Longyear Canada,41,29 Jan 2021 02:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,1093104,1093104,57.03904067,-111.4545635,4,1,2021.0
AA/07-14-093-10W4/0,SYNCRUDE 29ROVCH194237L01 7-14-93-10,493270,0Y80,Boart Longyear Canada,47,30 Jan 2021 04:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,14093104,14093104,57.06813866,-111.4813998,4,1,2021.0
AB/09-14-093-10W4/0,SYNCRUDE 084N01 9-14-93-10,497082,0Y80,Boart Longyear Canada,47,29 Jan 2021 11:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-30,14093104,14093104,57.06813866,-111.4813998,4,1,2021.0
00/13-17-022-17W4/0,TXNE 13D-9 HZ COUNTESS 13-17-22-17,497622,0Y52,Precision Drilling Corporation,239,18 Jan 2021 12:45:00 PM,Midnapore,A7NW,Torxen Energy Ltd.,,Drill To LD,2021-01-18,17022174,17022174,50.87049427,-112.3130406,3,1,2021.0
00/12-10-051-16W5/0,CVE 100 HZ EDSON 12-10-51-16,498506,0Z41,Ensign Drilling Inc.,557,17 Jan 2021 08:00:00 PM,Drayton Valley,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-18,10051165,10051165,53.38843159,-116.2618518,3,1,2021.0
00/12-10-051-16W5/0,CVE 100 HZ EDSON 12-10-51-16,498506,0Z41,Ensign Drilling Inc.,557,17 Jan 2021 08:00:00 PM,Drayton Valley,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-18,10051165,10051165,53.38843159,-116.2618518,3,1,2021.0
00/03-05-063-05W6/0,OUC HZ KAKWA 3-5-63-5,498275,A6PR,Nabors Drilling Canada Limited,70,18 Jan 2021 04:30:00 AM,Grande Prairie,A2DE,ORLEN Upstream Canada Ltd.,,Drill To LD,2021-01-18,5063056,5063056,54.42168662,-118.7051939,3,1,2021.0
00/04-26-064-02W6/0,VELVET HZ KARR 4-26-64-2,499042,A08C,Savanna Drilling Corp.,639,17 Jan 2021 11:30:00 PM,Grande Prairie,A5YK,Velvet Energy Ltd.,,Drill To LD,2021-01-18,26064026,26064026,54.56703032,-118.1766517,3,1,2021.0
00/09-04-075-25W4/0,DELTASTREAM MARTENH 9-4-75-25,498833,A2CL,Komat Drilling Ltd.,3,17 Jan 2021 11:30:00 PM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2021-01-18,4075254,4075254,55.46818763,-113.8097717,3,1,2021.0
AB/05-28-076-05W4/0,CVE C5 HARDY 5-28-76-5,498391,0Y52,Precision Drilling Corporation,171,17 Jan 2021 08:20:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-18,28076054,28076054,55.61363569,-110.7044933,3,1,2021.0
13/02-16-076-06W4/0,CVE G05P09 LEISMER 2-16-76-6,499059,0Z41,Ensign Drilling Inc.,141,18 Jan 2021 07:21:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Set Surface,2021-01-18,16076064,16076064,55.58456271,-110.8597761,3,1,2021.0
02/12-13-076-07W5/0,TAC 12-18 HZ 102 NIPISI 12-13-76-7,499138,0Y52,Precision Drilling Corporation,152,18 Jan 2021 02:15:00 PM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-18,13076075,13076075,55.58490508,-114.9329088,3,1,2021.0
11/04-29-077-05W4/0,MEG AH16P HARDY 4-29-77-5,498953,0Y55,Akita Drilling Ltd.,27,17 Jan 2021 09:45:00 PM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2021-01-18,29077054,29077054,55.70089651,-110.7303741,3,1,2021.0
13/04-29-077-05W4/0,MEG AH17P HARDY 4-29-77-5,498955,0Y55,Akita Drilling Ltd.,27,18 Jan 2021 03:00:00 PM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2021-01-18,29077054,29077054,55.70089651,-110.7303741,3,1,2021.0
02/16-14-079-09W6/0,LONGSHORE HZ 100 GORD 16-14-79-9,499010,0Z41,Ensign Drilling Inc.,T420,18 Jan 2021 04:30:00 AM,Grande Prairie,A76W,Longshore Resources Ltd.,,Drill To LD,2021-01-18,14079096,14079096,55.84715837,-119.2792822,3,1,2021.0
AA/16-23-093-10W4/0,SYNCRUDE 29ROVCH194142L0 16-23-93-10,493256,0Y80,Boart Longyear Canada,41,17 Jan 2021 10:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-18,23093104,23093104,57.08259286,-111.4814072,3,1,2021.0
AB/10-24-093-10W4/0,SYNCRUDE 068N01 10-24-93-10,497179,0Y80,Boart Longyear Canada,47,18 Jan 2021 01:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-18,24093104,24093104,57.08259748,-111.4545408,3,1,2021.0
AB/08-34-093-10W4/0,SYNCRUDE 29ROVCH194301L01 8-34-93-10,493340,0Y80,Boart Longyear Canada,47,18 Jan 2021 12:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-18,34093104,34093104,57.11171402,-111.5082104,3,1,2021.0
02/06-15-095-06W4/0,SUNCOR P131P8 FIREBAG 6-15-95-6,497860,A6PR,Nabors Drilling Canada Limited,102,18 Jan 2021 04:00:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Resumption,2021-01-18,15095064,15095064,57.24275071,-110.8735294,3,1,2021.0
AB/01-19-095-06W4/0,SUNCOR FIREBAG 1-19-95-6,498740,A1YG,Big Country Drilling Ltd.,18,18 Jan 2021 12:45:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2021-01-18,19095064,19095064,57.2571914,-110.9547522,3,1,2021.0
00/15-29-033-03W5/0,TIMBERROCK HZ HARME 15-29-33-3,499001,A6PR,Nabors Drilling Canada Limited,8,26 Jan 2021 01:56:00 AM,Red Deer,A16J,TimberRock Energy Corp.,,Drill To LD,2021-01-26,29033035,29033035,51.86058671,-114.3797866,4,1,2021.0
00/13-07-035-07W4/0,TAC 2-12 HZ PROVOST 13-7-35-7,498915,0GE9,Tempco Drilling Company Inc.,5,25 Jan 2021 11:45:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-26,7035074,7035074,51.99025368,-110.9812676,4,1,2021.0
02/13-07-038-08W5/0,TQN FERRIER 13-7-38-8,499041,A0KC,Horizon Drilling Inc.,23,26 Jan 2021 05:00:00 PM,Red Deer,A2TG,TAQA North Ltd.,,Drill To LD,2021-01-26,7038085,7038085,52.25345708,-115.1205864,4,1,2021.0
00/11-25-039-24W4/0,ENHANCEENERGY CLIVE 11-25-39-24,498861,0ZG2,Excalibur Drilling Ltd.,14,26 Jan 2021 03:30:00 AM,Red Deer,A216,Enhance Energy Inc.,,Drill To LD,2021-01-26,25039244,25039244,52.38337104,-113.315655,4,1,2021.0
00/04-30-040-09W5/0,TQN FERRIER 4-30-40-9,499156,A0KC,Horizon Drilling Inc.,19,26 Jan 2021 04:30:00 AM,Red Deer,A2TG,TAQA North Ltd.,,Drill To LD,2021-01-26,30040095,30040095,52.47226812,-115.2730913,4,1,2021.0
00/13-12-047-10W5/0,INPLAY OIL HZ PEMBINA 13-12-47-10,499274,A2EN,Ironhand Drilling Inc.,6,26 Jan 2021 02:48:00 PM,Drayton Valley,A6JK,InPlay Oil Corp.,,Drill To LD,2021-01-26,12047105,12047105,53.03957523,-115.3182448,4,1,2021.0
00/16-30-048-12W5/0,WESTBRICK HZ BRAZR 16-30-48-12,499086,A08C,Savanna Drilling Corp.,652,26 Jan 2021 12:00:00 AM,Drayton Valley,A5WB,Westbrick Energy Ltd.,,Drill To LD,2021-01-26,30048125,30048125,53.17061842,-115.7326152,4,1,2021.0
02/14-30-056-24W5/0,PEYTO WILD RIV 14-30-56-24,498046,0Z41,Ensign Drilling Inc.,T401,25 Jan 2021 10:30:00 PM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-26,30056245,30056245,53.86841954,-117.544389,4,1,2021.0
00/12-05-061-18W5/0,TANGLE CREEK KAYBOBS 12-5-61-18,498730,0Y52,Precision Drilling Corporation,391,25 Jan 2021 11:45:00 PM,St. Albert,A5WA,Tangle Creek Energy Ltd.,,Drill To LD,2021-01-26,5061185,5061185,54.24688585,-116.6515859,4,1,2021.0
20/12-08-066-05W4/0,CNRL SC03 CAVERN LEMING 12-8-66-5,499099,0Y52,Precision Drilling Corporation,183,26 Jan 2021 03:00:00 PM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2021-01-26,8066054,8066054,54.69695178,-110.7117207,4,1,2021.0
02/04-16-072-08W6/0,CNRL 102 HZ WEMBLEY 4-16-72-8,492101,0Z41,Ensign Drilling Inc.,44,26 Jan 2021 04:00:00 PM,Grande Prairie,0HE9,Canadian Natural Resources Limited,,Drill To LD,2021-01-26,16072086,16072086,55.23608884,-119.1540573,4,1,2021.0
AB/05-20-076-05W4/0,CVE C5 HARDY 5-20-76-5,498386,0Y52,Precision Drilling Corporation,254,26 Jan 2021 04:46:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-26,20076054,20076054,55.59899986,-110.7303732,4,1,2021.0
02/04-12-077-05W4/0,MEG DE6P HARDY 4-12-77-5,490955,0Y55,Akita Drilling Ltd.,25,26 Jan 2021 05:34:00 AM,Bonnyville,0Z9C,MEG Energy Corp.,,Resumption,2021-01-26,12077054,12077054,55.65714511,-110.6268493,4,1,2021.0
AB/13-12-093-10W4/0,SYNCRUDE 107N01 13-12-93-10,497114,0Y80,Boart Longyear Canada,41,26 Jan 2021 10:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-26,12093104,12093104,57.05349944,-111.454556,4,1,2021.0
AB/14-13-093-10W4/0,SYNCRUDE 075N01 14-13-93-10,497063,0Y80,Boart Longyear Canada,47,26 Jan 2021 01:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-26,13093104,13093104,57.0681388,-111.4545484,4,1,2021.0
AB/14-23-093-10W4/0,SYNCRUDE 063N01 14-23-93-10,497174,0Y80,Boart Longyear Canada,47,25 Jan 2021 07:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-26,23093104,23093104,57.08259286,-111.4814072,4,1,2021.0
00/03-31-094-05W4/0,SUNCOR DW23 FIREBAG 3-31-94-5,498867,0Y52,Precision Drilling Corporation,117,26 Jan 2021 10:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2021-01-26,31094054,31094054,57.19890501,-110.7839127,4,1,2021.0
02/09-13-034-08W4/0,TAC 7-19 HZ 102 PROVOST 9-13-34-8,498619,0GE9,Tempco Drilling Company Inc.,5,03 Jan 2021 04:15:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-03,13034084,13034084,51.91825559,-110.9973445,53,1,2021.0
00/01-33-044-07W4/0,SURGE ENERGY HZ WAINWR 1-33-44-7,496423,A8AF,Hertz & Paluck Energy Services Inc.,1,02 Jan 2021 01:30:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Set Surface,2021-01-03,33044074,33044074,52.8360007,-110.9473444,53,1,2021.0
00/09-10-050-10W5/0,WHITECAP PEMBINA 9-10-50-10,496797,A0KC,Horizon Drilling Inc.,43,03 Jan 2021 01:00:00 PM,Drayton Valley,A5BE,Whitecap Resources Inc.,,Drill To LD,2021-01-03,10050105,10050105,53.30153922,-115.3669223,53,1,2021.0
03/03-05-052-21W5/0,PEYTO MEDLOD 3-5-52-21,498711,0Z41,Ensign Drilling Inc.,T438,02 Jan 2021 11:00:00 PM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-03,5052215,5052215,53.46118706,-117.0478311,53,1,2021.0
00/12-01-056-21W5/0,PEYTO SUNDANCE 12-1-56-21,498801,0Z41,Ensign Drilling Inc.,432,02 Jan 2021 07:30:00 PM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-03,1056215,1056215,53.81022579,-116.9744708,53,1,2021.0
00/03-30-059-25W5/0,TOURMALINE HZ LELAND 3-30-59-25,498838,0Y52,Precision Drilling Corporation,463,03 Jan 2021 07:30:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2021-01-03,30059255,30059255,54.13046421,-117.7262527,53,1,2021.0
